Accession	pos-1	pos-2	pos-3	neg-1	neg-2	neg-3
E5RIF9	0.15374836090679	0.465557881748798	0.203226817971667	-0.511503586874877	-0.0639361744809595	-0.310726833658191
S6B294	0.000318480636528296	0.236982162593843	0.323175085643298	-0.0741951231268859	-0.429827298005358	-0.284914182091119
B2RBZ5	0.258716497439491	0.230136934503299	0.144486064973397	-0.223623141986577	-0.00276073768892648	-0.275164179990742
P30046	0.261572960925746	0.0410643353057953	0.191907934611829	-0.146722820373534	-0.035909483242775	-0.286573197719753
V9H0D6	0.263493203317176	0.357820930689593	0.201791184591422	-0.17390645508808	0.102455565593503	-0.0554600276223324
B2R9V7	0.165679780578821	0.115367310084967	-0.0339782748830363	-0.116210194017975	-0.346523939897088	-0.191059540683099
A0A024CIM4	-0.276711672194711	-0.268810718192319	-0.329070507413538	-0.162073215746174	0.118069736139553	-0.0514934862246424
B4E1C2	-0.365637760727486	-0.0548844954980532	-0.100799663103315	0.0971830439627131	0.172268360609919	0.0655429830559363
B4DE84	-0.394628675110812	-0.0706190310337132	-0.401331799024503	0.0129817302946439	-0.00987465565085437	0.0990767151285406
M0R2W8	-0.233521282187323	-0.254819400537269	-0.429290648595619	-0.150060509955104	0.08627470055994	0.172438343069585
B7Z7M2	-0.535666398894158	-0.0922916124649555	-0.0583365884315915	0.44733958908079	0.293965490558464	0.0715892434019625
D6REY1	0.217095397628089	-0.0508316250552761	-0.481951340709868	0.447175384474311	0.318542086194082	0.483451140181891
H7C0N0	-0.477837575035424	-0.421651835492163	-0.39869075128809	0.0961104949390941	0.122443443242329	0.341082637737984
Q9H5Q8	-0.278166234353027	-0.811325611831964	-0.142781767002883	0.165870583940222	0.238253688435956	0.593071734242952
