Accession	pos-1	pos-2	pos-3	con-1	con-2	con-3
H0YLI6	0.505385758305155	0.66618573793455	0.42950796679387	-3.48246852180279	-2.44341751090313	-3.36787424603928
P19652	-0.213395375035842	0.990633754472967	1.39230961128163	-2.02664482097996	-1.87105628294785	-2.00693860920838
P02763	0.335953531745167	0.888016658832738	1.01661325625821	-1.92588319547412	-1.68275421077136	-1.78308564276143
P02741	0.995617286404145	-0.0131085858830794	0.538012849449942	-1.64073238152889	-1.63832026505724	-1.68077597005276
P01009	0.634304475793281	0.313330693092056	0.463454487336238	-1.73268485581609	-1.82870085811033	-1.52384766468891
G8JLJ2	0.920525829532008	0.347429978980076	0.248315694329026	-0.484755215014892	-0.562570661659279	-0.360636188673094
H0Y512	0.0577880680554264	0.344142874176639	0.413463684481371	-0.741949340166245	-0.745762175957568	-0.677825132186293
H0Y7V2	0.0934594198719894	0.182305511989943	0.254473030837856	-1.38498648872201	-0.985903559245754	-0.202367946865347
P0DOX2	0.709612405007024	0.203840815093936	0.0948261595325787	-0.692960476343912	-0.369346671644829	-0.367081444014714
P02776	0.188418748442417	0.368379923949897	0.332518577646396	-0.58160494053495	-0.258211350913291	-0.571722700853535
P02792	0.356408258613928	0.389577042057865	0.150769731565852	-0.61130627059204	-0.442351075056432	-0.325206641400981
B2RA39	0.485639276592453	0.0660429995426513	0.218628551654473	-0.346883577701542	-0.506519494629518	-0.590824890672338
M0QYC8	0.32211505896583	0.0860487222496939	0.344645142102982	-0.627966509737688	-0.508448987693865	-0.322215010904238
Q5TFQ8	0.454915180791226	0.121997033412315	0.335005396123076	-0.474353848889185	-0.373227474975938	-0.322086821892713
Q8TCF0	0.504534568310003	0.129672984315666	0.116158198204436	-0.385748819599719	-0.423115293592367	-0.395559765011005
A0A0G2JMR2	0.191876052506058	0.343873347384139	0.525813107228942	-0.298140518326045	-0.714370269995698	0.0335179311174951
Q8NBJ4	0.503035641126442	0.0527258828339933	0.178889279664161	-0.392660447689186	-0.0676899958179843	-0.67517361824808
P18065	0.402096051466196	0.0898058807594523	0.104922530459584	-0.379007899355724	-0.240494297015529	-0.417146501048204
Q86U17	0.297558407224463	0.121808746992196	0.261216363690117	-0.224049215461716	-0.479472806881621	-0.228692105015782
P11226	0.290934597271274	0.0197296619232268	0.331218523025153	-0.11820941406477	-0.245482044574108	-0.533834147539692
H0Y3T6	0.246853414486319	0.204234153543681	0.0823980114212868	-0.4056142948088	-0.42585881465079	-0.159670990878081
P02775	-0.0581939917187558	0.379399366267986	0.398435982790307	-0.302107773749453	-0.123728469942968	-0.321230261115202
B2R888	0.439712838324996	0.146966199178773	0.0211771025819583	-0.17193778086857	-0.350181294253195	-0.253769259072001
H2B4M3	0.20607031390691	0.388295579323646	0.0746110583154329	-0.00128379579629333	-0.293581774500064	-0.402401739586676
B4E3Q4	0.420910063961103	0.0923235005773596	0.107036566691272	-0.106543477282715	-0.247069315702429	-0.319582103514515
S4R471	0.205235436459135	0.0024756647600693	0.294824148805079	-0.340280272144699	-0.402213264318865	-0.0130205081510761
D3DPH5	0.130505496624206	0.281932068411004	0.416765740577616	-0.196914153833615	0.0172973102710473	-0.189199930683824
F5H7V9	0.267578760382977	0.117988264669403	0.125472169822225	-0.278018123313772	-0.189172125623474	-0.208107902247257
A0A1B0GVP3	0.306352453441724	0.104470822553858	0.255378407528272	-0.0737150412883704	-0.184309324392482	-0.216087292896767
F5GX11	0.395597511017816	0.256837157717254	0.00412690100234343	-0.181409401088592	-0.0905299258020994	-0.173090784580975
P08637	0.254799560907475	0.222001653552833	0.0929472164985991	-0.143512575637937	-0.255489360709601	-0.127635767421119
L8E853	0.350750287911505	0.14488567445933	0.0806914544601978	-0.0671094984296174	-0.112837382000431	-0.299023830785075
Q8WM99	0.242232123573506	0.272094862674981	-0.0348547321661876	-0.184103368691539	-0.0923890876252824	-0.281372876527301
F5GZZ9	0.243301615585243	-0.00350464136932247	0.0485354606448655	-0.098295336027391	-0.365152125902712	-0.286041775183744
Q5H9A7	0.263800401219327	0.0735018758011521	0.147221614065458	-0.166573882393946	-0.0798994834803558	-0.252673770038681
P05362	0.267782706953544	0.148008572428392	0.0303145254094323	-0.134942856451646	-0.16501971045696	-0.174165531507784
Q5U000	-0.0111224966484713	0.2478336128273	0.214736952522732	-0.0774280463234303	-0.174826231688641	-0.17532273797582
P14543	0.186183844088618	0.0982676058699928	0.0492578855125003	-0.103527857702898	-0.0935185628552806	-0.314078833647916
Q76LX8	-0.0851495956014234	-0.136274534807571	-0.110272349419641	0.165226785893443	0.263387373028568	0.0257568843950522
